Number of genes	116307
Number of genes in orthogroups	113962
Number of unassigned genes	2345
Percentage of genes in orthogroups	98.0
Percentage of unassigned genes	2.0
Number of orthogroups	7355
Number of species-specific orthogroups	1
Number of genes in species-specific orthogroups	2
Percentage of genes in species-specific orthogroups	0.0
Mean orthogroup size	15.5
Median orthogroup size	21.0
G50 (assigned genes)	23
G50 (all genes)	23
O50 (assigned genes)	2298
O50 (all genes)	2349
Number of orthogroups with all species present	3288
Number of single-copy orthogroups	3101
Date	2025-10-05
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	3885	52.8	30020	26.3
'1	3414	46.4	79987	70.2
'2	36	0.5	1941	1.7
'3	9	0.1	695	0.6
'4	8	0.1	823	0.7
'5	0	0.0	0	0.0
'6	1	0.0	151	0.1
'7	2	0.0	345	0.3
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	1
2	986
3	452
4	442
5	253
6	158
7	130
8	123
9	143
10	125
11	213
12	217
13	83
14	87
15	91
16	51
17	61
18	51
19	65
20	77
21	114
22	144
23	3288
