	042	11128	11368	2009EL-2050	55989	78-Pyelo	APECO1	BEN2908	CFT073	E2348_69	E24377A	H10407	IHE3034	IMT5155	K12	LF82	NRG857c	O157H7_EDL933	O157H7_Sakai	RS218	SCU-397	UTI89	chi7122
Number of genes	4493	5456	5894	5164	5049	5082	5082	5019	5123	4905	4822	5096	4955	4881	4520	4519	4507	5662	5593	5073	5839	4948	4625
Number of genes in orthogroups	4437	5353	5752	5089	4997	5003	5024	4958	5002	4754	4691	4966	4924	4804	4412	4505	4494	5628	5541	4922	5232	4909	4565
Number of unassigned genes	56	103	142	75	52	79	58	61	121	151	131	130	31	77	108	14	13	34	52	151	607	39	60
Percentage of genes in orthogroups	98.8	98.1	97.6	98.5	99.0	98.4	98.9	98.8	97.6	96.9	97.3	97.4	99.4	98.4	97.6	99.7	99.7	99.4	99.1	97.0	89.6	99.2	98.7
Percentage of unassigned genes	1.2	1.9	2.4	1.5	1.0	1.6	1.1	1.2	2.4	3.1	2.7	2.6	0.6	1.6	2.4	0.3	0.3	0.6	0.9	3.0	10.4	0.8	1.3
Number of orthogroups containing species	4289	4811	4942	4750	4712	4733	4800	4701	4690	4497	4462	4619	4706	4619	4282	4446	4435	4969	5001	4723	4719	4754	4422
Percentage of orthogroups containing species	58.3	65.4	67.2	64.6	64.1	64.4	65.3	63.9	63.8	61.1	60.7	62.8	64.0	62.8	58.2	60.4	60.3	67.6	68.0	64.2	64.2	64.6	60.1
Number of species-specific orthogroups	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	3066	2544	2413	2605	2643	2622	2555	2654	2665	2858	2893	2736	2649	2736	3073	2909	2920	2386	2354	2632	2636	2601	2933
'1	4200	4594	4627	4572	4565	4573	4630	4540	4518	4348	4332	4443	4550	4506	4210	4396	4384	4658	4776	4557	4470	4623	4322
'2	77	122	166	106	87	109	137	115	111	106	87	115	111	97	52	45	46	209	131	136	149	109	82
'3	4	35	44	37	31	26	23	25	36	24	29	34	35	7	10	2	3	32	27	28	55	20	11
'4	4	12	46	16	16	12	2	14	8	10	3	14	3	4	1	2	1	22	29	1	12	2	3
'5	0	25	13	10	4	8	6	4	5	4	2	2	7	1	1	1	1	14	8	1	12	0	1
'6	0	8	12	1	3	1	1	1	6	2	2	3	0	1	3	0	0	11	9	0	9	0	1
'7	1	2	10	2	1	2	1	0	2	0	1	3	0	0	2	0	0	7	5	0	3	0	0
'8	1	2	5	2	0	0	0	0	1	1	2	0	0	0	2	0	0	1	1	0	2	0	0
'9	0	5	5	1	2	0	0	0	1	1	1	0	0	0	0	0	0	5	6	0	3	0	0
'10	1	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0
11-15	0	2	9	1	1	2	0	1	1	0	2	3	0	1	1	0	0	4	5	0	2	0	2
16-20	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0
21-50	1	2	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	1	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	41.7	34.6	32.8	35.4	35.9	35.6	34.7	36.1	36.2	38.9	39.3	37.2	36.0	37.2	41.8	39.6	39.7	32.4	32.0	35.8	35.8	35.4	39.9
'1	57.1	62.5	62.9	62.2	62.1	62.2	63.0	61.7	61.4	59.1	58.9	60.4	61.9	61.3	57.2	59.8	59.6	63.3	64.9	62.0	60.8	62.9	58.8
'2	1.0	1.7	2.3	1.4	1.2	1.5	1.9	1.6	1.5	1.4	1.2	1.6	1.5	1.3	0.7	0.6	0.6	2.8	1.8	1.8	2.0	1.5	1.1
'3	0.1	0.5	0.6	0.5	0.4	0.4	0.3	0.3	0.5	0.3	0.4	0.5	0.5	0.1	0.1	0.0	0.0	0.4	0.4	0.4	0.7	0.3	0.1
'4	0.1	0.2	0.6	0.2	0.2	0.2	0.0	0.2	0.1	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.3	0.4	0.0	0.2	0.0	0.0
'5	0.0	0.3	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.0
'6	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0
'7	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
'8	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
