"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","78-Pyelo","APECO1","BEN2908","CFT073","IHE3034","IMT5155","LF82","NRG857c","RS218","UIT89","chi7122"
"group_1003","","hypothetical protein","11","11","1","1","3535","","","","164","638","578","MLKLJMNP_02626","CPCHNOAG_01404","MMFKLIDH_01419","BLOBBDCK_01619","HONHGEAM_01525","JFLNLICH_04575","NFALKJBE_01344","OKCJCEOA_01365","KJPMMKDD_01502","ALJJNEKE_01463","NOKOPPJF_01388"
"pyrF","","Orotidine 5'-phosphate decarboxylase","11","11","1","1","7224","","","","785","884","803","MLKLJMNP_02670","CPCHNOAG_01359","MMFKLIDH_01375","BLOBBDCK_01574","HONHGEAM_01481","JFLNLICH_04621","NFALKJBE_01299","OKCJCEOA_01320","KJPMMKDD_01458","ALJJNEKE_01419","NOKOPPJF_01340"
"group_1022","","hypothetical protein","11","11","1","1","8196","","","","458","464","458","MLKLJMNP_02785","CPCHNOAG_01250","MMFKLIDH_01254","BLOBBDCK_01524","HONHGEAM_01372","JFLNLICH_04672","NFALKJBE_01249","OKCJCEOA_01270","KJPMMKDD_01345","ALJJNEKE_01310","NOKOPPJF_01291"
"hemA","","Glutamyl-tRNA reductase","11","11","1","1","8165","","","","1256","1325","1306","MLKLJMNP_02809","CPCHNOAG_01226","MMFKLIDH_01230","BLOBBDCK_01494","HONHGEAM_01348","JFLNLICH_04696","NFALKJBE_01219","OKCJCEOA_01240","KJPMMKDD_01321","ALJJNEKE_01286","NOKOPPJF_01267"
"ycgR","","Flagellar brake protein YcgR","11","11","1","1","8143","","","","734","734","734","MLKLJMNP_02829","CPCHNOAG_01205","MMFKLIDH_01209","BLOBBDCK_01474","HONHGEAM_01327","JFLNLICH_04717","NFALKJBE_01199","OKCJCEOA_01220","KJPMMKDD_01300","ALJJNEKE_01265","NOKOPPJF_01249"
"group_1025","","hypothetical protein","11","11","1","1","8125","","","","368","368","368","MLKLJMNP_02845","CPCHNOAG_01189","MMFKLIDH_01193","BLOBBDCK_01458","HONHGEAM_01311","JFLNLICH_04733","NFALKJBE_01183","OKCJCEOA_01204","KJPMMKDD_01284","ALJJNEKE_01249","NOKOPPJF_01230"
"group_1026","","putative autotransporter","11","11","1","1","8121","","","","311","326","324","MLKLJMNP_02849","CPCHNOAG_01185","MMFKLIDH_01189","BLOBBDCK_01454","HONHGEAM_01307","JFLNLICH_04737","NFALKJBE_01179","OKCJCEOA_01200","KJPMMKDD_01280","ALJJNEKE_01245","NOKOPPJF_01226"
"rluE","","Ribosomal large subunit pseudouridine synthase E","11","11","1","1","6442","","","","476","653","636","MLKLJMNP_02929","CPCHNOAG_01104","MMFKLIDH_01101","BLOBBDCK_01358","HONHGEAM_01226","JFLNLICH_03928","NFALKJBE_01097","OKCJCEOA_01101","KJPMMKDD_01200","ALJJNEKE_01167","NOKOPPJF_01212"
"ycfT","","Inner membrane protein YcfT","11","11","1","1","3376","","","","1073","1073","1073","MLKLJMNP_02949","CPCHNOAG_01084","MMFKLIDH_01081","BLOBBDCK_01259","HONHGEAM_01206","JFLNLICH_03908","NFALKJBE_01077","OKCJCEOA_01081","KJPMMKDD_01180","ALJJNEKE_01147","NOKOPPJF_01192"
"mfd","","Transcription-repair-coupling factor","11","11","1","1","3375","","","","2840","3494","3434","MLKLJMNP_02950","CPCHNOAG_01083","MMFKLIDH_01080","BLOBBDCK_01258","HONHGEAM_01205","JFLNLICH_03907","NFALKJBE_01076","OKCJCEOA_01080","KJPMMKDD_01179","ALJJNEKE_01146","NOKOPPJF_01191"
