Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.4282	CDS	LR740776.1	4329894	4328521	1374	Copper sensory histidine kinase CpxA	Orphan regulatory proteins	4328521	4329894	
fig|6666666.541064.peg.4283	CDS	LR740776.1	4330523	4329891	633	Copper-sensing two-component system response regulator CpxR	Orphan regulatory proteins	4329891	4330523	
fig|6666666.541064.peg.4284	CDS	LR740776.1	4330736	4331239	504	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	- none -	4330736	4331239	
fig|6666666.541064.peg.4285	CDS	LR740776.1	4332615	4331425	1191	Integrase	- none -	4331425	4332615	
fig|6666666.541064.peg.4286	CDS	LR740776.1	4332959	4333231	273	Cox	- none -	4332959	4333231	
fig|6666666.541064.peg.4287	CDS	LR740776.1	4333286	4333474	189	hypothetical protein	- none -	4333286	4333474	
fig|6666666.541064.peg.4288	CDS	LR740776.1	4333654	4333478	177	hypothetical protein	- none -	4333478	4333654	
fig|6666666.541064.peg.4289	CDS	LR740776.1	4333939	4334439	501	Replication gene B protein	- none -	4333939	4334439	
fig|6666666.541064.peg.4290	CDS	LR740776.1	4334503	4334727	225	FIG00638705: hypothetical protein	- none -	4334503	4334727	
fig|6666666.541064.peg.4291	CDS	LR740776.1	4334727	4335029	303	FIG00640077: hypothetical protein	- none -	4334727	4335029	
fig|6666666.541064.peg.4292	CDS	LR740776.1	4335029	4335253	225	Hypothetical Zinc-finger containing protein	- none -	4335029	4335253	
fig|6666666.541064.peg.4293	CDS	LR740776.1	4335250	4335525	276	FIG00639324: hypothetical protein	- none -	4335250	4335525	
fig|6666666.541064.peg.4294	CDS	LR740776.1	4335515	4337809	2295	Phage replication protein	Phage replication	4335515	4337809	
fig|6666666.541064.peg.4295	CDS	LR740776.1	4338006	4339181	1176	orf98	- none -	4338006	4339181	
fig|6666666.541064.peg.4296	CDS	LR740776.1	4339208	4340140	933	hypothetical protein	- none -	4339208	4340140	
fig|6666666.541064.peg.4297	CDS	LR740776.1	4341131	4340148	984	DNA-cytosine methyltransferase (EC 2.1.1.37)	DNA repair, bacterial	4340148	4341131	
fig|6666666.541064.peg.4298	CDS	LR740776.1	4341327	4341488	162	FIG00639694: hypothetical protein	- none -	4341327	4341488	
fig|6666666.541064.peg.4299	CDS	LR740776.1	4342561	4341527	1035	Phage-related capsid packaging protein	Phage packaging machinery	4341527	4342561	
