	042	11128	11368	2009EL-2050	55989	78-Pyelo	APECO1	BEN2908	CFT073	E2348_69	E24377A	H10407	IHE3034	IMT5155	K12	LF82	NRG857c	O157H7_EDL933	O157H7_Sakai	RS218	SCU-397	UTI89	chi7122
OG0007355	fig|6666666.1469307.peg.1																						
OG0007356	fig|6666666.1469307.peg.3																						
OG0007357	fig|6666666.1469307.peg.7																						
OG0007358	fig|6666666.1469307.peg.9																						
OG0007359	fig|6666666.1469307.peg.10																						
OG0007360	fig|6666666.1469307.peg.12																						
OG0007361	fig|6666666.1469307.peg.13																						
OG0007362	fig|6666666.1469307.peg.68																						
OG0007363	fig|6666666.1469307.peg.260																						
OG0007364	fig|6666666.1469307.peg.701																						
OG0007365	fig|6666666.1469307.peg.762																						
OG0007366	fig|6666666.1469307.peg.763																						
OG0007367	fig|6666666.1469307.peg.769																						
OG0007368	fig|6666666.1469307.peg.801																						
OG0007369	fig|6666666.1469307.peg.908																						
OG0007370	fig|6666666.1469307.peg.1020																						
OG0007371	fig|6666666.1469307.peg.1075																						
OG0007372	fig|6666666.1469307.peg.1569																						
OG0007373	fig|6666666.1469307.peg.1572																						
OG0007374	fig|6666666.1469307.peg.1688																						
OG0007375	fig|6666666.1469307.peg.1975																						
OG0007376	fig|6666666.1469307.peg.1979																						
OG0007377	fig|6666666.1469307.peg.1980																						
OG0007378	fig|6666666.1469307.peg.1983																						
OG0007379	fig|6666666.1469307.peg.1986																						
OG0007380	fig|6666666.1469307.peg.1989																						
OG0007381	fig|6666666.1469307.peg.1990																						
OG0007382	fig|6666666.1469307.peg.1991																						
OG0007383	fig|6666666.1469307.peg.2037																						
OG0007384	fig|6666666.1469307.peg.2038																						
OG0007385	fig|6666666.1469307.peg.2040																						
OG0007386	fig|6666666.1469307.peg.2041																						
OG0007387	fig|6666666.1469307.peg.2045																						
OG0007388	fig|6666666.1469307.peg.2046																						
OG0007389	fig|6666666.1469307.peg.2139																						
OG0007390	fig|6666666.1469307.peg.2604																						
OG0007391	fig|6666666.1469307.peg.2624																						
OG0007392	fig|6666666.1469307.peg.2854																						
