	042	11128	11368	2009EL-2050	55989	78-Pyelo	APECO1	BEN2908	CFT073	E2348_69	E24377A	H10407	IHE3034	IMT5155	K12	LF82	NRG857c	O157H7_EDL933	O157H7_Sakai	RS218	SCU-397	UTI89	chi7122
042	4289	3988	4044	4043	4037	3761	3749	3762	3755	3698	4021	4020	3746	3769	3944	3708	3719	3858	3863	3748	3855	3743	4112
11128	3988	4811	4605	4277	4242	3865	3922	3901	3859	3917	4135	4069	3917	3880	3945	3800	3796	4265	4267	3901	3993	3902	4093
11368	4044	4605	4942	4342	4309	3950	4006	3992	3942	3956	4174	4145	4008	3958	4009	3854	3851	4328	4336	3962	4062	3973	4135
2009EL-2050	4043	4277	4342	4750	4518	3922	3946	3939	3935	3855	4199	4164	3938	3920	3999	3821	3810	4110	4117	3932	4077	3942	4092
55989	4037	4242	4309	4518	4712	3910	3959	3962	3919	3860	4219	4162	3946	3943	3996	3857	3846	4076	4083	3946	4037	3950	4095
78-Pyelo	3761	3865	3950	3922	3910	4733	4289	4259	4296	4060	3862	3912	4259	4212	3778	4127	4140	3853	3872	4267	4056	4245	3810
APECO1	3749	3922	4006	3946	3959	4289	4800	4441	4279	4057	3874	3973	4494	4390	3835	4210	4196	3886	3896	4456	3980	4530	3864
BEN2908	3762	3901	3992	3939	3962	4259	4441	4701	4245	4057	3869	3939	4439	4488	3783	4194	4183	3853	3860	4424	3977	4403	3873
CFT073	3755	3859	3942	3935	3919	4296	4279	4245	4690	4011	3820	3908	4281	4246	3761	4142	4131	3848	3856	4319	3979	4287	3826
E2348_69	3698	3917	3956	3855	3860	4060	4057	4057	4011	4497	3816	3888	4070	3997	3710	3963	3930	3891	3902	4025	3836	4021	3790
E24377A	4021	4135	4174	4199	4219	3862	3874	3869	3820	3816	4462	4085	3844	3850	3982	3795	3787	3986	3994	3847	3967	3845	4083
H10407	4020	4069	4145	4164	4162	3912	3973	3939	3908	3888	4085	4619	3953	3913	4062	3780	3767	4007	4013	3908	4034	3918	4086
IHE3034	3746	3917	4008	3938	3946	4259	4494	4439	4281	4070	3844	3953	4706	4397	3769	4206	4199	3869	3884	4522	3922	4516	3860
IMT5155	3769	3880	3958	3920	3943	4212	4390	4488	4246	3997	3850	3913	4397	4619	3776	4191	4170	3831	3846	4406	3918	4366	3854
K12	3944	3945	4009	3999	3996	3778	3835	3783	3761	3710	3982	4062	3769	3776	4282	3721	3725	3899	3902	3778	3903	3798	4018
LF82	3708	3800	3854	3821	3857	4127	4210	4194	4142	3963	3795	3780	4206	4191	3721	4446	4369	3757	3760	4208	3808	4193	3809
NRG857c	3719	3796	3851	3810	3846	4140	4196	4183	4131	3930	3787	3767	4199	4170	3725	4369	4435	3763	3766	4182	3820	4176	3787
O157H7_EDL933	3858	4265	4328	4110	4076	3853	3886	3853	3848	3891	3986	4007	3869	3831	3899	3757	3763	4969	4930	3848	4065	3865	3916
O157H7_Sakai	3863	4267	4336	4117	4083	3872	3896	3860	3856	3902	3994	4013	3884	3846	3902	3760	3766	4930	5001	3867	4065	3872	3926
RS218	3748	3901	3962	3932	3946	4267	4456	4424	4319	4025	3847	3908	4522	4406	3778	4208	4182	3848	3867	4723	3937	4591	3856
SCU-397	3855	3993	4062	4077	4037	4056	3980	3977	3979	3836	3967	4034	3922	3918	3903	3808	3820	4065	4065	3937	4719	3930	3918
UTI89	3743	3902	3973	3942	3950	4245	4530	4403	4287	4021	3845	3918	4516	4366	3798	4193	4176	3865	3872	4591	3930	4754	3833
chi7122	4112	4093	4135	4092	4095	3810	3864	3873	3826	3790	4083	4086	3860	3854	4018	3809	3787	3916	3926	3856	3918	3833	4422
